Title, Summary, Tags, Date, URL
"redesigning-adobes-file-type-icon-system-language","Redesigning Adobe’s File Type Icon System Language With the newest release of Creative Cloud this fall, users will see that all...","['Adobe', 'product design', 'icon', 'ui design', 'design process', 'AllDesignProcess']","2017-10-31 05:16:09 GMT","https://tmblr.co/ZOY6Hi2RWHJCk"
"rebuilding-slackcom-a-redesign-powered-by-css","Rebuilding slack.com A redesign powered by CSS Grid and optimized for performance and accessibility.  By Mina Markham on...","['Slack', 'website', 'web design', 'web development', 'css', 'product design', 'ui design', 'ux design', 'design process', 'AllDesignProcess']","2017-10-23 06:03:10 GMT","https://tmblr.co/ZOY6Hi2RGB0QT"
"how-we-designed-oscar-20-the-whole-process-took-a","How we designed Oscar 2.0 The whole process took a ton of exploration, prototyping, testing, and development. In the end, we...","['Oscar', 'product', 'product design', 'design process', 'AllDesignProcess', 'ui design', 'ux design', 'user experience', 'mobile app']","2017-10-20 03:48:49 GMT","https://tmblr.co/ZOY6Hi2R9h-NW"
"evolving-the-dropbox-brand-as-our-mission-has","Evolving the Dropbox Brand As our mission has evolved from keeping files in sync to helping teams in sync, we realized our brand...","['Dropbox', 'branding', 'rebranding', 'logo', 'AllDesignProcess', 'visual identity']","2017-10-16 15:41:54 GMT","https://tmblr.co/ZOY6Hi2R2GD98"
"atlassian-behind-the-scenes-of-our-bold-new-brand","Atlassian: Behind the Scenes of Our Bold New Brand In the end, this project was more than just the creation of a few logos. It...","['Atlassian', 'branding', 'rebranding', 'logo', 'design process', 'AllDesignProcess']","2017-09-22 03:40:58 GMT","https://tmblr.co/ZOY6Hi2QEq-8F"
"understanding-culture-at-the-start-of-2014-i-was","Understanding Culture At the start of 2014, I was one of twelve senior design students selected to take part in the italiaDesign...","['product', 'research', 'design', 'design process', 'AllDesignProcess']","2017-09-14 07:37:21 GMT","https://tmblr.co/ZOY6Hi2P_4Fjr"
"our-redesign-of-mediums-claps-and-why-they-may","Our redesign of Medium’s Claps… and why they may not have chosen to do it this way.","['Medium', 'product', 'redesign', 'design process', 'AllDesignProcess', 'ui design', 'ux design']","2017-09-12 08:51:41 GMT","https://tmblr.co/ZOY6Hi2PvxjoD"
"uber-perfecting-the-pickup-our-goal-for-the","Uber - Perfecting the Pickup Our goal for the project was to recapture the magic of the early days of Uber. The original premise...","['app', 'product', 'product design', 'ux design', 'design research', 'design process', 'design portfolio', 'AllDesignProcess', 'Uber']","2017-08-24 03:31:29 GMT","https://tmblr.co/ZOY6Hi2PFiYi0"
"the-marvel-logo-an-insight-into-my-process-the","The Marvel Logo – An Insight Into My Process The goal was pretty clear, the new type needed to resemble a friendly, fun yet...","['logo', 'rebranding', 'branding', 'visual identity', 'design process', 'AllDesignProcess']","2017-06-22 03:12:10 GMT","https://tmblr.co/ZOY6Hi2M_T3p8"
"ux-writing-how-to-do-it-like-google-with-this","★ UX Writing: How to do it like Google with this powerful checklist These are my notes from a Google I/O 2017 talk by three UX...","['ux', 'writing', 'Google', 'product', 'AllDesignProcess']","2017-06-07 05:45:57 GMT","https://tmblr.co/ZOY6Hi2MSFG_p"
